time    flux    error
 18900 32.75027672 0.7085099827
 19000    35.15483836 0.7304750035
 19100 32.3895727    0.6969855428
 19200 31.85046511 0.69189312
 19300    29.85508213 0.6716506046
 19400 33.01748094    0.7050872144
 19500 38.85529096 0.7663760115
 19600    37.41002093 0.7484498904
 19700 40.49865064    0.7806751833
 19800 48.26382482 0.851125956
 19900    44.91952799 0.8233435555
 20000 42.04994516    0.7957976674
 20100 42.36010793 0.7975732945
 20200    46.0154293 0.8341433217
 20300 45.57789375    0.8293909115
 20400 43.87962327 0.8132725876
 20500    45.15547025 0.8252691851
 20600 44.00299403    0.8134754775
 20700 41.64789754 0.7930256991
 20800    43.23599195 0.805349432
 20900 45.65281132    0.8288473575
 21000 39.67096735 0.7748298009
 21100    36.21088722 0.738814763
 21200 33.14088335    0.704949074
 21300 32.32397927 0.6955012189
 21400    29.24197768 0.6645805259
 21500 26.09370315    0.6262176403
 21600 22.83549686 0.5860533882
 21700    20.54022608 0.5566118485
 21800 20.75585028    0.5595198
 21900 22.01436205 0.5765269808
 22000    23.33853527 0.5907967719
 22100 27.88800139    0.6482437713
 22200 28.48123669 0.6556855417
 22300    25.63914183 0.6221663911
 22400 24.81308431    0.6113309996
 22500 24.96782263 0.61377793
 22600    28.77120228 0.6605433899
 22700 26.10643484    0.6266443906
 22800 29.72116364 0.6695496979
 22900    29.57042767 0.6693279999
 23000 28.86543181    0.658721989
 23100 28.10908469 0.6496402514
 23200    29.71770887 0.6706730724
 23300 30.68524765    0.6791526218
 23400 36.61707066 0.742402913
 23500    45.49981896 0.8282250819
 23600 45.70655595    0.8292162417
 23700 37.90537452 0.7573730315
 23800    33.08429922 0.7049911581
 23900 31.06955235    0.6841728172
 24000 31.96015722 0.6939891041
 24100    32.37597773 0.6965798593
 24200 33.65474476    0.712056927
 24300 33.32854356 0.7106239879
 24400    30.50265908 0.6781349798
 24500 29.03018923    0.6610168727
 24600 28.09830012 0.6513822529
 24700    30.74904585 0.6813632852
 24800 32.65792456    0.7015947582
 24900 35.44882053 0.7317108313
 25000    40.66824789 0.7822246602
 25100 37.32300751    0.751179989
 25200 33.87531342 0.7162955035
 25300    30.54927782 0.6786990871
 25400 27.49410496    0.6452909073
 25500 25.28848832 0.6182101752
 25600    26.89778282 0.6361913591
 25700 29.57018428    0.6658881404
 25800 33.09514728 0.7188004965
 25900    34.23226414 0.7196828629
 26000 37.6281006    0.7534196768
 26100 42.0096291 0.7963481199
 26200    39.03818266 0.7663083203
 26300 40.99395986    0.7880392775
 26400 45.54107197 0.8303151694
 26500    50.50534666 0.8732441177
 26600 41.57326396    0.7914994494
 26700 40.89282619 0.7837967933
 26800    39.48345229 0.7719978468
 26900 44.38988895    0.8174282424
 27000 41.53004786 0.7924192618
 27100    42.12993711 0.7977741937
 27200 36.7605728    0.7431026791
 27300 39.16331477 0.7687901964
 27400    39.49274717 0.7713111405
 27500 36.39609222    0.7401643648
 27600 27.58896637 0.6450197074
 27700    26.00181552 0.6264070766
 27800 25.76304091    0.6221826198
 27900 25.62521766 0.6195578568
 28000    25.54201994 0.6211841477
 28100 27.14468636    0.6387962906
 28200 25.54766492 0.6208440382
 28300    26.42600936 0.6305005795
 28400 26.3504965    0.6305322627
 28500 26.7297542 0.6381360991
 28600    30.63410901 0.6784506541
 28700 28.29440516    0.6540364494
 28800 22.66929228 0.5877503275
 28900    21.2104547 0.5646878512
 29000 24.90655783    0.6127218636
 29100 25.56797323 0.62184335
 29200    23.74080081 0.5980793363
 29300 20.489186    0.5531790585
 29400 22.95193684 0.5889825296
 29500    28.46998842 0.6540536292
 29600 25.54480953    0.6199214411
 29700 20.29814333 0.5548482641
 29800    20.28867137 0.5546724652
 29900 20.16273595    0.5509271622
 30000 19.09274574 0.5359793318
 30100    18.18587784 0.5226010433
 30200 17.55241039    0.513615722
 30300 17.13020653 0.5080069515
 30400    18.26652168 0.5241644914
 30500 18.6533564    0.5313632251
 30600 18.66587556 0.5316092761
 30700    17.69943522 0.5168874824
 30800 16.20831047    0.4942845207
 30900 17.10403173 0.5060907032
 31000    15.8368537 0.4905712486
 31100 15.54188318    0.4836252883
 31200 17.26612309 0.5109955219
 31300    17.29153169 0.5112392611
 31400 16.44890747    0.4982164175
 31500 14.97639909 0.4752004162
 31600    12.70972585 0.4380070568
 31700 14.35086214    0.4662832018
 31800 13.90915342 0.4593340034
 31900    16.61453331 0.5008515757
 32000 14.67994042    0.4695571769
 32100 13.14430111 0.4468009668
 32200    13.44860557 0.4509512063
 32300 14.34407996    0.4669323042
 32400 13.42989243 0.4498184705
 32500    13.15872862 0.4469841755
 32600 13.18227084    0.446046032
 32700 11.71748859 0.421000203
 32800    10.37650517 0.3948783807
 32900 11.25207644    0.4130107614
 33000 10.1834074 0.3930356401
 33100    11.01149664 0.4082233332
 33200 9.678881221    0.3826440588
 33300 9.477010015 0.3782481799
 33400    10.5286328 0.3983593904
 33500 10.81030943    0.4053634726
 33600 10.30410611 0.394849116
 33700    10.22542856 0.3939562757
 33800 10.80193411    0.4024175411
 33900 12.02103333 0.4257565187
 34000    13.28142696 0.447140114
 34100 14.07346478    0.4600611266
 34200 13.67598982 0.4539343119
 34300    14.12663637 0.4611045407
 34400 13.67854505    0.4551427895
 34500 15.18410516 0.4796039824
 34600    13.7074602 0.4526101572
 34700 13.78497443    0.4552585246
 34800 13.50665928 0.4503322544
 34900    14.81292292 0.4728522227
 35000 15.10366014    0.4776184215
 35100 13.12145617 0.4446447719
 35200    12.40162239 0.4308272735
 35300 17.33436828    0.512399755
 35400 17.13298037 0.5099481601
 35500    12.96728884 0.4650445792
 35600 15.34714179    0.4853325866
 35700 15.42723232 0.4864735403
 35800    15.26926037 0.4786531534
 35900 17.3935123    0.5140906095
 36000 21.1231228 0.5682236096
 36100    21.30544876 0.5716993987
 36200 21.94182343    0.576617366
 36300 24.70528555 0.6083315493
 36400    26.49621971 0.6317694823
 36500 23.58177128    0.59619484
 36600 22.86235405 0.5873124514
 36700    32.49411753 0.6997681584
 36800 34.51876534    0.7194462215
 36900 28.44131019 0.655605453
 37000    28.28569382 0.651334549
 37100 27.26993352    0.6421399022
 37200 21.1749685 0.564562336
 37300    16.62171291 0.5004689179
 37400 16.14418526    0.4938523965
 37500 15.73948575 0.4875701887
 37600    13.79939978 0.4549124524
 37700 13.67897646    0.4552015056
 37800 13.25586496 0.4463782016
 37900    14.57147557 0.4689829223
 38000 16.35694161    0.4963810134
 38100 17.6986761 0.5166583246
 38200    16.13762157 0.4938481959
 38300 15.0967491    0.4769646369
 38400 15.98286449 0.4906504905
 38500    18.77643639 0.5403392063
 38600 19.06925466    0.534557874
 38700 19.79518859 0.5459398244
 38800    20.2005754 0.5511792796
 38900 17.45274346    0.5134970749
 39000 19.06498972 0.5365151106
 39100    23.15938829 0.5905172451
 39200 24.024617    0.6017153943
 39300 23.51679687 0.5953749115
 39400    26.47418551 0.6314829185
 39500 26.03240429    0.626702242
 39600 26.78570343 0.6367441113
 39700    26.4589886 0.6310248076
 39800 21.9747054    0.5796045672
 39900 21.75098313 0.5788341786
 40000    24.03728539 0.614451245
 40100 26.91972788    0.6410238744
 40200 31.58158757 0.6936376659
 40300    29.16390825 0.6617360725
 40400 28.16209324    0.6561253073
 40500 28.877148 0.6640928887
 40600    30.30681031 0.6791562779
 40700 31.52157103    0.6924600097
 40800 34.61786884 0.7264393484
 40900    31.2741886 0.6912986594
 41000 28.61725029    0.6646025911
 41100 23.46842919 0.6063394518
 41200    27.52908068 0.6521355209
 41300 26.05857427    0.6338399042
 41400 27.38668813 0.6511062022
 41500    28.78153296 0.6673437646
 41600 28.70145359    0.6619375347
 41700 29.00626479 0.6899184096
 41800    27.13593379 0.6464907055
 41900 28.4552647    0.6597776418
 42000 26.08038442 0.6352861465
 42100    24.29175867 0.6116017447
 42200 22.07347977    0.5778248268
 42300 19.36966916 0.5415207581
 42400    18.43478161 0.5280808633
 42500 19.0762964    0.5364670369
 42600 19.33598267 0.5388094589
 42700    18.59666071 0.5288649366
 42800 20.11246807    0.5519311615
 42900 22.91996369 0.5889596844
 43000    23.66771673 0.602115691
 43100 24.27659731    0.6103796716
 43200 28.91928466 0.6616409261
 43300    29.3515868 0.6680601925
 43400 30.83676151    0.6851523026
 43500 30.32156323 0.6803221539
 43600    30.09142746 0.6779150889
 43700 32.3685597    0.7701871652
 43800 39.5392379 0.7741711936
 43900    39.21899021 0.7728088651
 44000 38.02022638    0.7599087462
 44100 31.49021513 0.6948751464
 44200    24.36304453 0.6148063914
 44300 19.2580847    0.5443014852
 44400 19.70129809 0.5479418772
 44500    20.84530056 0.5660390966
 44600 26.09874759    0.6326948522
 44700 26.54691758 0.6357416015
 44800    29.94957081 0.6752721679
 44900 31.56021762    0.6965380674
 45000 29.4087006 0.6702085984
 45100    27.32368242 0.6474072761
 45200 25.03388938    0.6227104713
 45300 24.02936258 0.609924354
 45400    23.16854904 0.5999876131
 45500 24.26888074    0.6145905593
 45600 19.77314929 0.5564564147
 45700    18.14220503 0.5337804018
 45800 17.06246278    0.5171388627
 45900 17.45937786 0.5185743804
 46000    19.74103123 0.552869449
 46100 19.71441585    0.8108036118
 46200 20.87565351 0.5664426897
 46300    22.12506093 0.5822471546
 46400 21.06832761    0.5728836591
 46500 20.3445498 0.5633209017
 46600    19.43028395 0.5549322602
 46700 20.27949048    0.562423531
 46800 18.91179513 0.5400250463
 46900    19.99248423 0.5555684049
 47000 20.84264135    0.5660603373
 47100 18.74497998 0.5383001014
 47200    18.63370015 0.5374697376
 47300 22.16084084    0.5895658863
 47400 27.50401997 0.654269196
 47500    22.67871165 0.5915953683
 47600 24.93452315    0.6189823366
 47700 23.25217574 0.5972998136
 47800    19.46455484 0.5504688195
 47900 17.62350207    0.5216634566
 48000 16.66987135 0.5105964412
 48100    15.32598429 0.4857832254
 48200 14.10784136    0.4698048772
 48300 15.59662463 0.4916313438
 48400    19.81648385 0.552712492
 48500 19.01729853    0.5419573549
 48600 19.64840493 0.5496510548
 48700    19.55078639 0.5488272716
 48800 18.64967518    0.5386477079
 48900 21.73705085 0.5825150246
 49000    23.47688202 0.6056034946
 49100 24.81437332    0.6198081893
 49200 22.40891194 0.589952724
 49300    21.63141301 0.5774705061
 49400 19.71830516    0.5507805805
 49500 20.79602096 0.5680412735
 49600    19.3834752 0.5470402568
 49700 16.50905183    0.5032055702
 49800 14.17457826 0.465540821
 49900    12.93125315 0.444993186
 50000 14.77948445    0.4772972873
 50100 15.86162171 0.495568845
 50200    17.5158204 0.5200804166
 50300 19.3453415    0.547808591
 50400 17.94418117 0.5236056156
 50500    17.31662331 0.5136868712
 50600 18.87665477    0.535958041
 50700 21.37539629 0.5721440893
 50800    18.96533604 0.5366390863
 50900 17.92643345    0.5278023456
 51000 17.70003466 0.5247200715
 51100    21.83615464 0.5795891664
 51200 24.62596803    0.61606838
 51300 22.52500251 0.5911177017
 51400    22.72103324 0.5954094048
 51500 17.48391046    0.5253189122
 51600 13.12902693 0.460279649
 51700    12.18809233 0.442479851
 51800 12.4548179    0.4492241926
 51900 13.16032044 0.4606257491
 52000    12.24726117 0.4447242593
 52100 12.60127327    0.4469706304
 52200 10.47922283 0.4075536236
 52300    10.73155309 0.4124887341
 52400 10.51627777    0.4104392917
 52500 10.47324927 0.4097654729
 52600    10.96745998 0.4133338185
 52700 12.22920744    0.4363531445
 52800 11.36527519 0.4285909629
 52900    10.89940522 0.4217624735
 53000 9.912193441    0.403079771
 53100 10.34191942 0.4124525043
 53200    9.064532254 0.3851697438
 53300 7.738115645    0.358421271
 53400 7.665677992 0.3565168111
 53500    8.429208853 0.3747554183
 53600 7.825132535    0.3623195942
 53700 7.418796184 0.3558777141
 53800    7.543966555 0.3598816469
 53900 7.415580432    0.3527133416
 54000 6.804548606 0.3386303061
 54100    6.786192658 0.3306740224
 54200 7.277110102    0.3419543732
 54300 7.647853348 0.3520547071
 54400    7.419722958 0.3423192761
 54500 7.24125203    0.336451667
 54600 6.899983377 0.3269176167
 54700    8.721518212 0.3694300723
 54800 8.923491887    0.3727939438
 54900 8.476493294 0.3600609257
 55000    7.931814928 0.3504399299
 55100 6.86426367    0.3262169216
 55200 7.86586909 0.3448281574
 55300    8.43802831 0.3561620337
 55400 8.328431142    0.3543170933
 55500 7.849308167 0.3460015251
 55600    6.832870891 0.3228936383
 55700 7.528923688    0.3393368124
 55800 7.777868765 0.3420959308
 55900    7.09178855 0.3271076902
 56000 7.604586037    0.3389574061
 56100 7.213298352 0.3298729981
 56200    8.289278021 0.3541449643
 56300 9.714447986    0.3851925777
 56400 11.07445467 0.4069529681
 56500    9.583709846 0.377443808
 56600 11.21235911    0.4109362866
 56700 9.101873448 0.3701865937
 56800    9.683677197 0.381375343
 56900 10.44875769    0.3985627527
 57000 9.865444973 0.3867988706
 57100    9.666901179 0.3821077895
 57200 8.472895375    0.3568489526
 57300 7.369648033 0.3342933506
 57400    8.104649557 0.3485837259
 57500 8.920448987    0.366253096
 57600 9.663788584 0.3817013171
 57700    8.379052136 0.3542102606
 57800 8.463903755    0.3577916717
 57900 9.47504097 0.3796600727
 58000    8.271588192 0.352472595
 58100 6.604089191    0.3149581498
 58200 6.619893512 0.3181271508
 58300    5.955272898 0.3004362221
 58400 6.635747683    0.3185891257
 58500 7.270660745 0.3295147372
 58600    7.574990939 0.3397509134
 58700 7.666167769    0.3384278761
 58800 7.061698074 0.3252699109
 58900    8.068545074 0.3493041197
 59000 6.994523228    0.3247843551
 59100 6.365779934 0.3119577974
 59200    6.47049919 0.3136808229
 59300 5.86804799    0.2963304341
 59400 5.804925867 0.2964331607
 59500    5.47977104 0.2888098439
 59600 5.939381987    0.2984664158
 59700 6.407587765 0.3105983068
 59800    6.959477794 0.3255210006
 59900 7.521161741    0.3353382242
 60000 8.240189639 0.354708279
 60100    8.181769711 0.3515941973
 60200 7.345323305    0.3333025522
 60300 7.246225605 0.3317605625
 60400    7.293433775 0.3322267656
 60500 6.608467317    0.317098869
 60600 7.75055899 0.3427113994
 60700    7.742789117 0.3442802529
 60800 6.798138716    0.3219988485
 60900 7.132967857 0.3275119923
 61000    7.152399673 0.3289981639
 61100 6.195922609    0.3044910413
 61200 6.095507343 0.3016002
 61300    6.042036542 0.2995539055
 61400 6.303089897    0.3080522888
 61500 8.037577597 0.3486619337
 61600    9.550093839 0.3788613873
 61700 9.516922346    0.3784552339
 61800 10.36936052 0.3959826307
 61900    10.08329253 0.3892139303
 62000 9.342600044    0.3749541839
 62100 10.30060522 0.3933916132
 62200    10.68715885 0.402846777
 62300 11.00810549    0.4076547858
 62400 9.872658181 0.3850320874
 62500    11.81914381 0.421786878
 62600 11.38350215    0.4134293174
 62700 11.09158922 0.4086531073
 62800    11.77797152 0.4217640252
 62900 13.45637667    0.4497371948
 63000 12.82083801 0.4389389067
 63100    13.05660814 0.4446589602
 63200 13.75471356    0.4557124229
 63300 12.78382386 0.4408642945
 63400    10.55412981 0.3990577707
 63500 11.76717972    0.4236159987
 63600 13.78659491 0.4574178298
 63700    14.77018865 0.4750523821
 63800 16.12791288    0.4967117342
 63900 15.09641888 0.4851071097
 64000    15.55503671 0.4894466459
 64100 14.953201    0.4801802506
 64200 18.95934009 0.5407165935
 64300    17.56218911 0.522379506
 64400 16.15196709    0.4965899518
 64500 17.99315768 0.5296358471
 64600    18.11205558 0.5320561383
 64700 20.3327456    0.5641296135
 64800 18.02458062 0.5320336865
 64900    20.18084625 0.5604024147
 65000 21.7529759    0.5766466022
 65100 25.30363542 0.6256273862
 65200    28.32597939 0.6569186242
 65300 30.14844418    0.6768674728
 65400 29.88031707 0.6731134722
 65500    30.71442489 0.6807108809
 65600 31.02415068    0.6862220706
 65700 31.28557102 0.6906118975
 65800    32.75089785 0.7063081092
 65900 30.89747639    0.6845922612
 66000 32.68178054 0.7040725833
 66100    33.92545338 0.7167611857
 66200 31.54995361    0.6920395591
 66300 29.77995817 0.6722842004
 66400    32.00430111 0.6934689342
 66500 29.22631785    0.6662352694
 66600 26.14535552 0.633472496
 66700    26.63764052 0.6367131752
 66800 24.29375777    0.6082659518
 66900 25.20903955 0.6221315799
 67000    32.87581497 0.7083645485
 67100 34.59747035    0.726746585
 67200 28.59453066 0.6609375366
 67300    29.23393537 0.6669778702
 67400 26.70822746    0.6385497647
 67500 24.59768747 0.6130206842
 67600    24.98724675 0.6198280999
 67700 23.34490108    0.5983316024
 67800 23.24849392 0.5963860052
 67900    25.25350496 0.6207099446
 68000 24.98380814    0.6134592616
 68100 24.98133762 0.6195990376
 68200    24.46503272 0.6106728506
 68300 27.67548242    0.6515504735
 68400 24.9451977 0.6209484915
 68500    27.80238093 0.6536458124
 68600 27.84965425    0.6495303521
 68700 29.85888117 0.6751972856
 68800    28.89049031 0.6571615207
 68900 24.67718904    0.6061451024
 69000 26.13821383 0.6280722374
 69100    25.40631763 0.6199359785
 69200 26.53570263    0.6332198622
 69300 24.64947274 0.6104233794
 69400    27.13069269 0.6392911213
 69500 25.15193471    0.6169466048
 69600 27.93360562 0.6473656375
 69700    27.621709 0.6481574552
 69800 33.92680721    0.7184482415
 69900 33.91399937 0.7168103344
 70000    35.06096013 0.7293825032
 70100 41.09551579    0.7890370245
 70200 42.2909048 0.8010901331
 70300    37.76436075 0.7602142658
 70400 34.23568208    0.7250827418
 70500 38.34337844 0.7651431659
 70600    33.4372802 0.7167339101
 70700 30.29495883    0.6845948628
 70800 28.97171337 0.6682780935
 70900    25.96802162 0.6327802502
 71000 27.50314736    0.6522442612
 71100 26.99935729 0.6447628248
 71200    27.39427158 0.6476615656
 71300 28.09762429    0.6540247732
 71400 28.57826928 0.6605986002
 71500    28.81436481 0.662730643
 71600 28.16356396    0.6552065607
 71700 26.75735602 0.6374608747
 71800    29.62795545 0.6712793773
 71900 29.47718897    0.6661909641
 72000 30.39894559 0.6760186468
 72100    28.34686594 0.6527484835
 72200 29.0014165    0.6615648705
 72300 28.03121096 0.6517877023
 72400    30.79202418 0.6833934381
 72500 34.8010562    0.7249659638
 72600 33.52618159 0.7094616172
 72700    30.66450012 0.6834150656
 72800 29.32227703    0.6654672045
 72900 26.46860168 0.6328573768
 73000    23.05730366 0.5916465803
 73100 21.81557669    0.5765357664
 73200 23.64364571 0.6005148201
 73300    26.35533989 0.6332151992
 73400 28.91760955    0.6650364774
 73500 24.4176172 0.6143741608
 73600    19.11024873 0.5443060209
 73700 16.43677439    0.5084373875
 73800 15.71069628 0.4960560702
 73900    20.52662032 0.5663198769
 74000 29.25058685    0.6660043188
 74100 37.19167659 0.7512488237
 74200    43.08358619 0.8111445077
 74300 45.71501792    0.8295931701
 74400 55.58141758 0.9146413881
 74500    46.74862859 0.8379637613
 74600 42.95029293    0.8049756367
 74700 45.65660187 0.8286624041
 74800    44.74594886 0.8222321806
 74900 41.16359491    0.7870482555
 75000 45.32740176 0.827129538
 75100    47.97224294 0.8501287613
 75200 46.39474371    0.8359370956
 75300 47.35266511 0.8442537985
 75400    44.84176634 0.8195910898
 75500 51.11281225    0.8779069375
 75600 48.17176068 0.8512674614
 75700    44.98634697 0.8243139019
 75800 42.91977163    0.8033028024
 75900 42.05522896 0.7935132567
 76000    38.99899519 0.7652695708
 76100 38.1754024    0.7584758722
 76200 38.48027349 0.7615124463
 76300    39.40700406 0.7706793257
 76400 40.05931964    0.7781274187
 76500 39.13793983 0.769563905
 76600    34.85968006 0.7245094077
 76700 35.23455586    0.7304732445
 76800 33.19672352 0.7051779735
 76900    35.39115997 0.7302343415
 77000 38.0196891    0.7571034636
 77100 40.18889218 0.7776054443
 77200    38.15383191 0.7580780063
 77300 38.94907797    0.7663124361
 77400 37.23975628 0.7484255358
 77500    43.9475273 0.8126590972
 77600 48.65171459    0.857631523
 77700 49.68920066 0.865317719
 77800    41.07878407 0.7849930337
 77900 39.98008055    0.7753390997
 78000 37.36833976 0.7513787546
 78100    40.30175547 0.7796081367
 78200 47.57044226    0.8463884046
 78300 52.09573596 0.8860758771
 78400    64.32554022 0.9834226665
 78500 66.05954671    0.9979267136
 78600 64.18370399 0.9821700006
 78700    73.34039398 1.050841121
 78800 67.06873069    1.002724788
 78900 72.77435324 1.046050816
 79000    69.23558567 1.022962647
 79100 73.82715587    1.054633116
 79200 77.51624108 1.082175465
 79300    78.52031513 1.090536592
 79400 82.51740943    1.117790926
 79500 82.92051141 1.118073688
 79600    84.43414652 1.129003921
 79700 82.22059059    1.113121929
 79800 86.98221017 1.1456206
 79900    82.65795219 1.116011961
 80000 71.79358579    1.042955884
 80100 78.1232814 1.086071698
 80200    78.92790987 1.093291851
 80300 83.45350456    1.123114187
 80400 81.44936087 1.111956017
 80500    78.56082104 1.090193968
 80600 64.9052048    0.9903627515
 80700 54.83075366 0.9123275352
 80800    54.97169976 0.9126958602
 80900 57.81437843    0.9364437297
 81000 47.48531241 0.8505208163
 81100    43.80837749 0.8174433467
 81200 39.14104468    0.7706862452
 81300 36.75875161 0.7496324989
 81400    37.23056902 0.7524530981
 81500 36.64255366    0.7484743811
 81600 32.98830452 0.7122442125
 81700    33.19349179 0.7122485835
 81800 35.18657258    0.7304507367
 81900 34.9984569 0.7265346514
 82000    35.64862443 0.7377840696
 82100 35.473954    0.737690105
 82200 31.07656465 0.6908399651
 82300    28.85797083 0.6655990508
 82400 29.42692985    0.6745475747
 82500 27.69267162 0.6531347648
 82600    23.56727507 0.6035511556
 82700 24.9944695    0.6202664153
 82800 32.17146708 0.7007868976
 82900    39.34195836 0.7766965387
